"","county_number","county","aea","district_nces_code","district_number","district_name","school_nces_code","district_school_id","school_name","grade_start","grade_end","administrator","administrator_title","mailing_address","po_box","mailing_city","mailing_zip_code","phone_number","fax_number","email_address","physical_location","zip5","coords","public","type","geometry"
"81",31,"Dubuque",1,NA,6961,"",NA,8146,"Beckman Catholic HS Beckman Catholic HS",7,12,"Pat Meade","Principal","1325 9th St SE","","Dyersville","52040",5638757188,5638757242,"pmeade@beckman.pvt.k12.ia.us","POINT (-91.114275 42.472699000000006)","52040","(-91.114275 42.472699000000006)",TRUE,"High",c(-91.114275, 42.472699)
"82",31,"Dubuque",1,NA,6961,"",NA,8146,"Beckman Catholic HS Beckman Catholic HS",7,12,"Pat Meade","Principal","1325 9th St SE","","Dyersville","52040",5638757188,5638757242,"pmeade@beckman.pvt.k12.ia.us","POINT (-91.114275 42.472699000000006)","52040","(-91.114275 42.472699000000006)",TRUE,"Middle",c(-91.114275, 42.472699)
"83",26,"Davis",15,1908610,1619,"Davis County  Comm School District",190861000493,428,"Davis County Middle School",5,8,"Bradley McCloskey","Principal","500 E North St","","Bloomfield","52537",6416642200,6416641767,"Brad.McCloskey@dcmustangs.com","POINT (-92.408777 40.754657)","52537","(-92.408777 40.754657)",TRUE,"Middle",c(-92.408777, 40.754657)
"84",59,"Lucas",15,1907050,1107,"Chariton  Comm School District",190705000317,439,"Van Allen Elementary School",3,5,"Joshua Morgan","Principal","1129 Ashland","","Chariton","50049",6417745047,6417745717,"josh.morgan@chariton.k12.ia.us","POINT (-93.310785 41.023029)","50049","(-93.310785 41.023029)",TRUE,"Elementary",c(-93.310785, 41.023029)
"85",31,"Dubuque",1,NA,1863,"",NA,8006,"Holy Family System (Dubuque)",0,12,"Carol Trueg","Other Administrator","2005 Kane St","","Dubuque","52001",5635825456,5635833885,"dbqmd01@arch.pvt.k12.ia.us","POINT (-90.70623 42.517509)","52001","(-90.70623 42.517509)",TRUE,"Elementary",c(-90.70623, 42.517509)
"86",31,"Dubuque",1,NA,1863,"",NA,8006,"Holy Family System (Dubuque)",0,12,"Carol Trueg","Other Administrator","2005 Kane St","","Dubuque","52001",5635825456,5635833885,"dbqmd01@arch.pvt.k12.ia.us","POINT (-90.70623 42.517509)","52001","(-90.70623 42.517509)",TRUE,"High",c(-90.70623, 42.517509)
"87",31,"Dubuque",1,NA,1863,"",NA,8006,"Holy Family System (Dubuque)",0,12,"Carol Trueg","Other Administrator","2005 Kane St","","Dubuque","52001",5635825456,5635833885,"dbqmd01@arch.pvt.k12.ia.us","POINT (-90.70623 42.517509)","52001","(-90.70623 42.517509)",TRUE,"Middle",c(-90.70623, 42.517509)
"88",31,"Dubuque",1,1909480,1863,"Dubuque  Comm School District",190948000976,225,"Eleanor Roosevelt Middle School",6,8,"Jeffrey Johll","Principal","2001 Radford Rd","","Dubuque","52002",5635525000,5635525001,"jjohll@dbqschools.org","POINT (-90.752385 42.504911)","52002","(-90.752385 42.504911)",TRUE,"Middle",c(-90.752385, 42.504911)
"89",57,"Linn",10,NA,1053,"",NA,8214,"Trinity Lutheran School",0,8,"Mark Mueller","Principal","1361 7th Ave SW","","Cedar Rapids","52404-1831",3193626952,8776877670,"muellerm@trinitycr.org","POINT (-91.689919 41.969857)","52404","(-91.689919 41.969857)",TRUE,"Elementary",c(-91.689919, 41.969857)
"90",57,"Linn",10,NA,1053,"",NA,8214,"Trinity Lutheran School",0,8,"Mark Mueller","Principal","1361 7th Ave SW","","Cedar Rapids","52404-1831",3193626952,8776877670,"muellerm@trinitycr.org","POINT (-91.689919 41.969857)","52404","(-91.689919 41.969857)",TRUE,"Middle",c(-91.689919, 41.969857)
"91",52,"Johnson",10,1914700,3141,"Iowa City  Comm School District",191470000436,493,"Wickham Elementary",0,6,"Amber Daubs","Principal","601 Oakdale Blvd","","Coralville","52241",3196881175,3196881176,"daubs.amber@iowacityschools.org","POINT (-91.575666 41.705263)","52241","(-91.575666 41.705263)",TRUE,"Elementary",c(-91.575666, 41.705263)
"92",57,"Linn",10,1906540,1053,"Cedar Rapids  Comm School District",190654000731,636,"Viola Gibson Elementary  School",0,5,"Shannon Kehoe","Principal","6101 Gibson Dr NE","","Cedar Rapids","52411",3195582920,3193930412,"skehoe@cr.k12.ia.us","POINT (-91.713228 42.03933)","52411","(-91.713228 42.03933)",TRUE,"Elementary",c(-91.713228, 42.03933)
"93",57,"Linn",10,1906540,1053,"Cedar Rapids  Comm School District",190654000261,232,"Taft Middle School",6,8,"Gary Hatfield","Principal","5200 E Av NW","","Cedar Rapids","52405",3195582243,3196548619,"ghatfield@cr.k12.ia.us","POINT (-91.738942 41.978461)","52405","(-91.738942 41.978461)",TRUE,"Middle",c(-91.738942, 41.978461)
"94",73,"Page",13,NA,1197,"",NA,8202,"Clarinda Lutheran School Association",0,8,"Merrilee Anne Sump","Principal","707 W Scidmore","","Clarinda","51632",7125423657,7125423657,"msump@cls.k12.ia.us","POINT (-95.04505000000002 40.74595)","51632","(-95.04505000000002 40.74595)",TRUE,"Elementary",c(-95.04505, 40.74595)
"95",73,"Page",13,NA,1197,"",NA,8202,"Clarinda Lutheran School Association",0,8,"Merrilee Anne Sump","Principal","707 W Scidmore","","Clarinda","51632",7125423657,7125423657,"msump@cls.k12.ia.us","POINT (-95.04505000000002 40.74595)","51632","(-95.04505000000002 40.74595)",TRUE,"Middle",c(-95.04505, 40.74595)
"96",7,"Black Hawk",7,NA,6795,"",NA,8007,"Cedar Valley Catholic School System",0,12,"Dale Monroe","Superintendent","3231 W 9th St","NULL","Waterloo","50702",3192321422,3192323977,"DBQMW01@dbqarch.org","POINT (-92.344315 42.464995)","50702","(-92.344315 42.464995)",TRUE,"Elementary",c(-92.344315, 42.464995)
"97",7,"Black Hawk",7,NA,6795,"",NA,8007,"Cedar Valley Catholic School System",0,12,"Dale Monroe","Superintendent","3231 W 9th St","NULL","Waterloo","50702",3192321422,3192323977,"DBQMW01@dbqarch.org","POINT (-92.344315 42.464995)","50702","(-92.344315 42.464995)",TRUE,"High",c(-92.344315, 42.464995)
"98",7,"Black Hawk",7,NA,6795,"",NA,8007,"Cedar Valley Catholic School System",0,12,"Dale Monroe","Superintendent","3231 W 9th St","NULL","Waterloo","50702",3192321422,3192323977,"DBQMW01@dbqarch.org","POINT (-92.344315 42.464995)","50702","(-92.344315 42.464995)",TRUE,"Middle",c(-92.344315, 42.464995)
"99",52,"Johnson",10,1914700,3141,"Iowa City  Comm School District",191470002133,401,"Buford Garner Elementary",0,6,"Nick Proud","Principal","80 Birch Street","","North Liberty","52317",3196881190,NA,"proud.nick@iowacityschools.org","POINT (-91.599668 41.74173100000001)","52317","(-91.599668 41.74173100000001)",TRUE,"Elementary",c(-91.599668, 41.741731)
"100",31,"Dubuque",1,NA,6961,"",NA,8157,"Seton Catholic Elem Sch Peosta Center",0,5,"Mary Smock","Principal","7597 Burds Road","","Peosta","52068",5635565967,5635567579,"DBQE28@arch.pvt.k12.ia.us","POINT (-90.831933 42.448893)","52068","(-90.831933 42.448893)",TRUE,"Elementary",c(-90.831933, 42.448893)
"101",52,"Johnson",10,1914700,3141,"Iowa City  Comm School District",191470000304,488,"Weber Elementary",0,6,"Yaa Appiah-McNulty","Principal","3850 Rohret Road","","Iowa City","52246",3196881170,3196881171,"appiah-mcnulty.yaa@iowacityschools.org","POINT (-91.596479 41.644184)","52246","(-91.596479 41.644184)",TRUE,"Elementary",c(-91.596479, 41.644184)
"102",70,"Muscatine",9,1920130,4581,"Muscatine  Comm School District",192013001183,402,"Colorado Elementary School",0,5,"Gretchen Price","Principal","149 Colorado St","","Muscatine","52761",5632634998,5632630273,"gretchen.price@mcsdonline.org","POINT (-91.027646 41.442585)","52761","(-91.027646 41.442585)",TRUE,"Elementary",c(-91.027646, 41.442585)
"103",35,"Franklin",7,NA,916,"",NA,8201,"St Pauls Lutheran School",0,9,"Steve Lane","Principal","404 W. Main St","Box 609","Latimer","50452",6415796046,6415796285,"leadteacher@stpaulslatimer.org","POINT (-93.369911 42.733638)","50452","(-93.369911 42.733638)",TRUE,"Elementary",c(-93.369911, 42.733638)
"104",35,"Franklin",7,NA,916,"",NA,8201,"St Pauls Lutheran School",0,9,"Steve Lane","Principal","404 W. Main St","Box 609","Latimer","50452",6415796046,6415796285,"leadteacher@stpaulslatimer.org","POINT (-93.369911 42.733638)","50452","(-93.369911 42.733638)",TRUE,"Middle",c(-93.369911, 42.733638)
"105",31,"Dubuque",1,NA,1863,"",NA,8127,"Holy Ghost School",0,5,"Todd Wessels","Principal","2981 Central Ave","","Dubuque","52001-1953",5635561511,5635564768,"twessels@holyfamilydbq.org","POINT (-90.680781 42.525205)","52001","(-90.680781 42.525205)",TRUE,"Elementary",c(-90.680781, 42.525205)
"106",6,"Benton",10,NA,609,"",NA,8204,"Central Lutheran School",0,8,"Nichole Perez","Principal","310 3rd St W","PO Box 190","Newhall","52315-0190",3192235271,3192235257,"principal@centrallutheranschool.org","POINT (-91.973833 41.992518)","52315","(-91.973833 41.992518)",TRUE,"Elementary",c(-91.973833, 41.992518)
"107",6,"Benton",10,NA,609,"",NA,8204,"Central Lutheran School",0,8,"Nichole Perez","Principal","310 3rd St W","PO Box 190","Newhall","52315-0190",3192235271,3192235257,"principal@centrallutheranschool.org","POINT (-91.973833 41.992518)","52315","(-91.973833 41.992518)",TRUE,"Middle",c(-91.973833, 41.992518)
"108",7,"Black Hawk",7,1930480,6795,"Waterloo  Comm School District",193048001723,215,"Hoover Middle School",6,8,"Michael Fisher","Principal","630 Hillcrest Rd","","Waterloo","50701",3194332830,3194332843,"fisherm2@waterlooschools.org","POINT (-92.361974 42.465594)","50701","(-92.361974 42.465594)",TRUE,"Middle",c(-92.361974, 42.465594)
"109",70,"Muscatine",9,1920130,4581,"Muscatine  Comm School District",192013001192,461,"Mulberry Elementary School",0,5,"Mary Beilke","Principal","3211 Mulberry Ave","NULL","Muscatine","52761",5632638143,5632638487,"mary.beilke@mcsdonline.org","POINT (-91.07506 41.444433)","52761","(-91.07506 41.444433)",TRUE,"Elementary",c(-91.07506, 41.444433)
"110",31,"Dubuque",1,NA,1863,"",NA,8160,"Dubuque Lutheran School",0,5,"Kevin E. Kuske","Other Administrator","2145 John F. Kennedy Rd","","Dubuque","52002",5635880614,5635883475,"principal@dubuquelutheranschool.com","POINT (-90.720467 42.509244)","52002","(-90.720467 42.509244)",TRUE,"Elementary",c(-90.720467, 42.509244)
"111",7,"Black Hawk",7,NA,1044,"",NA,8113,"St Patrick School",0,8,"Bev Mach","Principal","615 Washington St","","Cedar Falls","50613",3192776781,3192665806,"bmach@cfcatholicschool.org","POINT (-92.446831 42.532655)","50613","(-92.446831 42.532655)",TRUE,"Elementary",c(-92.446831, 42.532655)
"112",7,"Black Hawk",7,NA,1044,"",NA,8113,"St Patrick School",0,8,"Bev Mach","Principal","615 Washington St","","Cedar Falls","50613",3192776781,3192665806,"bmach@cfcatholicschool.org","POINT (-92.446831 42.532655)","50613","(-92.446831 42.532655)",TRUE,"Middle",c(-92.446831, 42.532655)
"113",9,"Bremer",7,1908940,1719,"Denver  Comm School District",190894000831,309,"K-5 Elementary School Lincoln Street Building",0,5,"Chris Ward","Principal","530 Lincoln St","P. O. Box 384","Denver","50622",3199845611,3199845630,"cward@denver.k12.ia.us","POINT (-92.330525 42.668666)","50622","(-92.330525 42.668666)",TRUE,"Elementary",c(-92.330525, 42.668666)
"114",7,"Black Hawk",7,NA,6795,"",NA,8008,"The Bosco System",0,12,"Rick Blackwell","Principal","405 16th Ave","PO Box 106","Gilbertville","50634",3192961692,3192961693,"rblackwell@boscosystem.pvt.k12.ia.us","POINT (-92.215588 42.417619)","50634","(-92.215588 42.417619)",TRUE,"Elementary",c(-92.215588, 42.417619)
"115",7,"Black Hawk",7,NA,6795,"",NA,8008,"The Bosco System",0,12,"Rick Blackwell","Principal","405 16th Ave","PO Box 106","Gilbertville","50634",3192961692,3192961693,"rblackwell@boscosystem.pvt.k12.ia.us","POINT (-92.215588 42.417619)","50634","(-92.215588 42.417619)",TRUE,"High",c(-92.215588, 42.417619)
"116",7,"Black Hawk",7,NA,6795,"",NA,8008,"The Bosco System",0,12,"Rick Blackwell","Principal","405 16th Ave","PO Box 106","Gilbertville","50634",3192961692,3192961693,"rblackwell@boscosystem.pvt.k12.ia.us","POINT (-92.215588 42.417619)","50634","(-92.215588 42.417619)",TRUE,"Middle",c(-92.215588, 42.417619)
"117",31,"Dubuque",1,NA,6961,"",NA,8150,"Aquin Elementary School",0,8,"Vicki Palmer","Principal","608 3rd Ave NW","Box 460","Cascade","52033",5638523331,5638525269,"DBQE06@arch.pvt.k12.ia.us","POINT (-91.019908 42.299037)","52033","(-91.019908 42.299037)",TRUE,"Elementary",c(-91.019908, 42.299037)
"118",31,"Dubuque",1,NA,6961,"",NA,8150,"Aquin Elementary School",0,8,"Vicki Palmer","Principal","608 3rd Ave NW","Box 460","Cascade","52033",5638523331,5638525269,"DBQE06@arch.pvt.k12.ia.us","POINT (-91.019908 42.299037)","52033","(-91.019908 42.299037)",TRUE,"Middle",c(-91.019908, 42.299037)
"119",31,"Dubuque",1,1909480,1863,"Dubuque  Comm School District",190948000617,522,"Sageville Elementary School",0,5,"Jean McDonald","Principal","12015 Sherrill Rd","","Dubuque","52002",5635524300,5635524301,"jmcdonald@dbqschools.org","POINT (-90.721447 42.568195)","52002","(-90.721447 42.568195)",TRUE,"Elementary",c(-90.721447, 42.568195)
"120",77,"Polk",11,1908970,1737,"Des Moines Independent  Comm School District",190897000543,114,"Hoover High School",9,12,"Kathie Danielson","Principal","4800 Aurora Ave","","Des Moines","50310",5152427300,5152427308,"kathie.danielson@dmschools.org","POINT (-93.682962 41.636719)","50310","(-93.682962 41.636719)",TRUE,"High",c(-93.682962, 41.636719)
"121",57,"Linn",10,1906540,1053,"Cedar Rapids  Comm School District",190654000266,608,"Van Buren Elementary School",0,5,"Kent Ryan","Principal","2525 29th St SW","","Cedar Rapids","52404",3195582377,3196548647,"kryan@cr.k12.ia.us","POINT (-91.710603 41.953231)","52404","(-91.710603 41.953231)",TRUE,"Elementary",c(-91.710603, 41.953231)
"122",52,"Johnson",10,1914700,3141,"Iowa City  Comm School District",191470000897,213,"Northwest Junior High School",7,8,"Laura Cottrell","Principal","1507 8th St","","Coralville","52241",3196881060,3196881069,"cottrell.laura@iowacityschools.org","POINT (-91.585515 41.681809)","52241","(-91.585515 41.681809)",TRUE,"Middle",c(-91.585515, 41.681809)
"123",7,"Black Hawk",7,1930480,6795,"Waterloo  Comm School District",193048001734,565,"Orange Elementary School",0,5,"Sunni Hart","Principal","5805 Kimball Ave","","Waterloo","50701",3194332880,3194332888,"harts@waterlooschools.org","POINT (-92.356899 42.431267)","50701","(-92.356899 42.431267)",TRUE,"Elementary",c(-92.356899, 42.431267)
"124",31,"Dubuque",1,NA,6961,"",NA,8001,"Archbishop Hennessy Catholic Elem Schools",0,6,"Steven Cornelius","Superintendent","1623 300th Avenue","","Dyersville","52040",5638757572,5638756140,"dbqe33@arch.pvt.k12.ia.us","POINT (-91.213305 42.55547)","52040","(-91.213305 42.55547)",TRUE,"Elementary",c(-91.213305, 42.55547)
"125",31,"Dubuque",1,NA,6961,"",NA,8148,"La Salle Catholic School",0,6,"Susan Hucker","Principal","NULL","Box 368","Holy Cross","52053",5638702405,5638704101,"dbqe34@arch.pvt.k12.ia.us","POINT (-90.997131 42.59977)","52053","(-90.997131 42.59977)",TRUE,"Elementary",c(-90.997131, 42.59977)
"126",7,"Black Hawk",7,1930480,6795,"Waterloo  Comm School District",193048000586,200,"Bunger Middle School",6,8,"Rachel Savage","Principal","157 S Roosevelt Rd","","Evansdale","50707",3194332550,3194332564,"savager@waterlooschools.org","POINT (-92.275501 42.470812)","50707","(-92.275501 42.470812)",TRUE,"Middle",c(-92.275501, 42.470812)
"127",25,"Dallas",11,1930510,6822,"Waukee  Comm School District",193051002190,442,"Woodland Hills",0,5,"Scott Shumaker","Principal","","1120 South 95th Street","West Des Moines","50266",5159875196,5159877560,"sshumaker@waukeeschools.org","POINT (-93.842119 41.549797)","50266","(-93.842119 41.549797)",TRUE,"Elementary",c(-93.842119, 41.549797)
"128",94,"Webster",5,NA,2313,"",NA,8206,"St Paul Lutheran School",0,8,"Julie Mann","Principal","1217 4th Ave S","","Fort Dodge","50501",5159557208,5155737839,"julie.mann@stpaulschoolfd.org","POINT (-94.181664 42.502066)","50501","(-94.181664 42.502066)",TRUE,"Elementary",c(-94.181664, 42.502066)
"129",94,"Webster",5,NA,2313,"",NA,8206,"St Paul Lutheran School",0,8,"Julie Mann","Principal","1217 4th Ave S","","Fort Dodge","50501",5159557208,5155737839,"julie.mann@stpaulschoolfd.org","POINT (-94.181664 42.502066)","50501","(-94.181664 42.502066)",TRUE,"Middle",c(-94.181664, 42.502066)
"130",64,"Marshall",7,1918720,4104,"Marshalltown  Comm School District",191872001095,491,"Woodbury Elementary School",0,4,"Anel Garza","Principal","8 N 7th Ave","","Marshalltown","50158",6417541080,6417541083,"agarza@marshalltown.k12.ia.us","POINT (-92.901555 42.049789)","50158","(-92.901555 42.049789)",TRUE,"Elementary",c(-92.901555, 42.049789)
"131",31,"Dubuque",1,1909480,1863,"Dubuque  Comm School District",190948000613,494,"John Kennedy Elementary School",0,5,"Donna Loewen","Principal","2135 Woodland","","Dubuque","52002",5635523900,5635523901,"dloewen@dbqschools.org","POINT (-90.72212300000001 42.509111)","52002","(-90.72212300000001 42.509111)",TRUE,"Elementary",c(-90.722123, 42.509111)
"132",57,"Linn",10,1907860,1337,"College  Comm School District",190786000104,951,"Prairie Edge",0,12,"Ivan Gentry","Principal","401 76th Ave SW","NULL","Cedar Rapids","52404",3192983406,NA,"igentry@crprairie.org","POINT (-91.666611 41.905046)","52404","(-91.666611 41.905046)",TRUE,"Elementary",c(-91.666611, 41.905046)
"133",57,"Linn",10,1907860,1337,"College  Comm School District",190786000104,951,"Prairie Edge",0,12,"Ivan Gentry","Principal","401 76th Ave SW","NULL","Cedar Rapids","52404",3192983406,NA,"igentry@crprairie.org","POINT (-91.666611 41.905046)","52404","(-91.666611 41.905046)",TRUE,"High",c(-91.666611, 41.905046)
"134",57,"Linn",10,1907860,1337,"College  Comm School District",190786000104,951,"Prairie Edge",0,12,"Ivan Gentry","Principal","401 76th Ave SW","NULL","Cedar Rapids","52404",3192983406,NA,"igentry@crprairie.org","POINT (-91.666611 41.905046)","52404","(-91.666611 41.905046)",TRUE,"Middle",c(-91.666611, 41.905046)
"135",31,"Dubuque",1,NA,1863,"",NA,8136,"Resurrection School",0,5,"Denise Grant","Principal","4300 Asbury Rd","","Dubuque","52002-0498",5635839488,5635577995,"dgrant@holyfamilydbq.org","POINT (-90.73627 42.515282)","52002","(-90.73627 42.515282)",TRUE,"Elementary",c(-90.73627, 42.515282)
"136",31,"Dubuque",1,NA,1863,"",NA,8122,"St Columbkille School",0,5,"Barb Roling","Principal","1198 Rush St","","Dubuque","52003",5635823532,5635834884,"broling@holyfamilydbq.org","POINT (-90.674942 42.486668)","52003","(-90.674942 42.486668)",TRUE,"Elementary",c(-90.674942, 42.486668)
"137",48,"Iowa",1,NA,1863,"",NA,8134,"Wahlert Catholic High School",9,12,"Ron Meyers","Principal","2005 Kane St","","Dubuque","52001-0599",5635839771,5635839775,"rmeyers@holyfamilydbq.org","POINT (-90.706196 42.517514)","52001","(-90.706196 42.517514)",TRUE,"High",c(-90.706196, 42.517514)
"138",77,"Polk",11,1908970,1737,"Des Moines Independent  Comm School District",190897000546,598,"Hubbell Elementary",0,5,"Carrie Belt","Principal","800 42nd St","","Des Moines","50312",5152428414,5152428290,"carrie.belt@dmschools.org","POINT (-93.67440100000002 41.592094)","50312","(-93.67440100000002 41.592094)",TRUE,"Elementary",c(-93.674401, 41.592094)
"139",25,"Dallas",11,1930510,6822,"Waukee  Comm School District",193051000299,421,"Eason Elementary",0,5,"Clint Prohaska","Principal","605 SE Boone Dr","","Waukee","50263",5159875200,5159872707,"cprohaska@waukeeschools.org","POINT (-93.83356 41.60617)","50263","(-93.83356 41.60617)",TRUE,"Elementary",c(-93.83356, 41.60617)
"140",52,"Johnson",10,1914700,3141,"Iowa City  Comm School District",191470000883,403,"Central Elementary School",0,6,"Andy Gahan","Principal","501 6th St","","Coralville","52241",3196881100,3196881101,"gahan.andy@iowacityschools.org","POINT (-91.571292 41.676337)","52241","(-91.571292 41.676337)",TRUE,"Elementary",c(-91.571292, 41.676337)
"141",77,"Polk",11,1908970,1737,"Des Moines Independent  Comm School District",190897002140,923,"Woodlawn Early Childhood Center",0,0,"Angela Constable","Supervisor","4000 Lower Beaver Rd","","Des Moines","50310",5152428213,NA,"angela.constable@dmschools.org","POINT (-93.664703 41.634025)","50310","(-93.664703 41.634025)",TRUE,"Elementary",c(-93.664703, 41.634025)
"142",71,"O'Brien",12,1900026,6099,"South O'Brien   Comm School District",190002600618,424,"South O'Brien Elem Sch Primghar Center",0,6,"Michael Morran","Principal","155 3rd St NE","PO Box P","Primghar","51245",7129573755,7129570205,"mmorran@soswolverines.org","POINT (-95.627524 43.089067)","51245","(-95.627524 43.089067)",TRUE,"Elementary",c(-95.627524, 43.089067)
"143",25,"Dallas",11,1932010,7110,"Woodward-Granger  Comm School District",193201001867,418,"Woodward-Granger Elementary School",2,5,"Matt Brummond","Principal","2002 Oak Street","","Granger","50109",5159992357,NA,"mattbrummond@wghawks.school","POINT (-93.81796 41.762279)","50109","(-93.81796 41.762279)",TRUE,"Elementary",c(-93.81796, 41.762279)
"144",29,"Des Moines",15,1905790,882,"Burlington  Comm School District",190579000186,208,"Edward Stone Middle School",6,8,"Angela Butler","Principal","3000 Mason Rd.","","Burlington","52601",3197524393,3197527437,"angela.butler@bcsds.org","POINT (-91.137895 40.795359000000005)","52601","(-91.137895 40.795359000000005)",TRUE,"Middle",c(-91.137895, 40.795359)
"145",52,"Johnson",10,NA,4271,"",NA,8506,"Iowa Mennonite School",9,12,"Stephen Schrag","Principal","1421 540th St SW","","Kalona","52247-0913",3196562073,3196562073,"sschrag@iowamennonite.org","POINT (-91.788961 41.540813)","52247","(-91.788961 41.540813)",TRUE,"High",c(-91.788961, 41.540813)
"146",57,"Linn",10,1906540,1053,"Cedar Rapids  Comm School District",190654000244,214,"Harding Middle School",6,8,"Linda Reysack","Principal","4801 Golf St NE","","Cedar Rapids","52402",3195582254,3193780671,"lreysack@cr.k12.ia.us","POINT (-91.653297 42.025633)","52402","(-91.653297 42.025633)",TRUE,"Middle",c(-91.653297, 42.025633)
"147",9,"Bremer",7,NA,6840,"",NA,8207,"St Pauls Lutheran School",0,6,"Kris Meyer","Principal","301 1st St. NW","","Waverly","50677",3193521484,3193523999,"kris.meyer@stpaulswaverly.org","POINT (-92.472017 42.728074)","50677","(-92.472017 42.728074)",TRUE,"Elementary",c(-92.472017, 42.728074)
"148",75,"Plymouth",12,1916530,3600,"Le Mars  Comm School District",191653000987,449,"Kluckhohn Elementary School",0,5,"Scott Parry","Principal","940 Lincoln Street SW","","Le Mars","51031",7125467064,7125467069,"scott.parry@lemarscsd.org","POINT (-96.16641700000001 42.775928)","51031","(-96.16641700000001 42.775928)",TRUE,"Elementary",c(-96.166417, 42.775928)
"149",31,"Dubuque",1,NA,1863,"",NA,8126,"St Anthony School",0,5,"Lori Apel","Principal","2175 Rosedale","","Dubuque","52001-4198",5635562820,5635562131,"lapel@holyfamily.dbq.pvt.k12.ia.us","POINT (-90.696973 42.50393400000001)","52001","(-90.696973 42.50393400000001)",TRUE,"Elementary",c(-90.696973, 42.503934)
"150",31,"Dubuque",1,1909480,1863,"Dubuque  Comm School District",190948001456,520,"Prescott Elementary School",0,5,"Vicki Sullivan","Principal","1151 White St","","Dubuque","52001",5635524200,5635524201,"vsullivan@dbqschools.org","POINT (-90.665652 42.504593)","52001","(-90.665652 42.504593)",TRUE,"Elementary",c(-90.665652, 42.504593)
"151",18,"Cherokee",12,1904020,423,"Aurelia  Comm School District",190402000013,251,"Aurelia Middle School",6,8,"Jeannie Henningsen","Principal","300 Ash St","PO Box 367","Aurelia","51005",7124345595,7124342053,"jhenningsen@alta-aurelia.k12.ia.us","POINT (-95.429754 42.714287)","51005","(-95.429754 42.714287)",TRUE,"Middle",c(-95.429754, 42.714287)
"152",52,"Johnson",10,1914700,3141,"Iowa City  Comm School District",191470000893,406,"Kirkwood Elementary School",0,6,"Anita Gerling","Principal","1401 9th St","","Coralville","52241",3196881120,3196881121,"gerling.anita@iowacityschools.org","POINT (-91.584299 41.684289)","52241","(-91.584299 41.684289)",TRUE,"Elementary",c(-91.584299, 41.684289)
"153",10,"Buchanan",7,1915330,3204,"Jesup  Comm School District",191533002057,420,"Perry #1 Elementary School",0,8,"Brian Pottebaum","Principal","531 Prospect","PO Box 287","Jesup","50648-0287",3198271700,3198273905,"bpottebaum@jesup.k12.ia.us","POINT (-91.97942800000001 42.536518)","50648","(-91.97942800000001 42.536518)",TRUE,"Elementary",c(-91.979428, 42.536518)
"154",10,"Buchanan",7,1915330,3204,"Jesup  Comm School District",191533002057,420,"Perry #1 Elementary School",0,8,"Brian Pottebaum","Principal","531 Prospect","PO Box 287","Jesup","50648-0287",3198271700,3198273905,"bpottebaum@jesup.k12.ia.us","POINT (-91.97942800000001 42.536518)","50648","(-91.97942800000001 42.536518)",TRUE,"Middle",c(-91.979428, 42.536518)
"155",57,"Linn",10,1906540,1053,"Cedar Rapids  Comm School District",190654000213,627,"Jackson Elementary School",0,5,"Nick Duffy","Principal","1300 38th St NW","","Cedar Rapids","52405",3195582471,3193903865,"nduffy@cr.k12.ia.us","POINT (-91.721383 41.985209)","52405","(-91.721383 41.985209)",TRUE,"Elementary",c(-91.721383, 41.985209)
"156",77,"Polk",11,1908970,1737,"Des Moines Independent  Comm School District",190897000537,194,"Scavo Alternative High School",9,12,"Richard Blonigan","Principal","1800 Grand Ave","","Des Moines","50309",5152427589,5152427591,"richard.blonigan@dmschools.org","POINT (-93.641783 41.584446)","50309","(-93.641783 41.584446)",TRUE,"High",c(-93.641783, 41.584446)
"157",77,"Polk",11,1908970,1737,"Des Moines Independent  Comm School District",190897002108,688,"McKee Elementary School",0,0,"Susan Guest","Supervisor","2115 E 39th St","","Des Moines","50317",5153238628,NA,"susan.guest@dmschools.org","POINT (-93.53966700000001 41.613891)","50317","(-93.53966700000001 41.613891)",TRUE,"Elementary",c(-93.539667, 41.613891)
"158",52,"Johnson",10,1914700,3141,"Iowa City  Comm School District",191470001034,497,"James Van Allen Elementary School",0,6,"Eric Ewald","Principal","170 Abigail Ave","","North Liberty","52317",3196881185,3196881186,"ewald.eric@iowacityschools.org","POINT (-91.595104 41.726421)","52317","(-91.595104 41.726421)",TRUE,"Elementary",c(-91.595104, 41.726421)
"159",57,"Linn",10,NA,1053,"",NA,8200,"Summit Schools Inc",0,5,"Larisa Bickel","Other Administrator","1010 Regent St NE","","Cedar Rapids","52402",3192942036,3195380405,"larisa.bickel@summitschools.org","POINT (-91.648681 42.024254)","52402","(-91.648681 42.024254)",TRUE,"Elementary",c(-91.648681, 42.024254)
"160",60,"Lyon",12,NA,6983,"",NA,8303,"Inwood Christian School",0,8,"Arlyn Schaap","Principal","302 E. Madison","Drawer C","Inwood","51240",7127534541,7127532434,"inwoodchrofc@alliancecom.net","POINT (-96.428286 43.305169)","51240","(-96.428286 43.305169)",TRUE,"Elementary",c(-96.428286, 43.305169)
"161",60,"Lyon",12,NA,6983,"",NA,8303,"Inwood Christian School",0,8,"Arlyn Schaap","Principal","302 E. Madison","Drawer C","Inwood","51240",7127534541,7127532434,"inwoodchrofc@alliancecom.net","POINT (-96.428286 43.305169)","51240","(-96.428286 43.305169)",TRUE,"Middle",c(-96.428286, 43.305169)
